product_name,version,page_count,est_images,doc_names,last_modified,last_modified_year,current_or_legacy,l3_url
TIBCO StreamBase®,7.7.6,3890,3112,,2019-02-06,2019,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-6.xml
TIBCO StreamBase®,7.7.7,3889,3111,,2019-05-03,2019,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-7.xml
TIBCO StreamBase®,7.7.8,3892,3113,,2019-12-13,2019,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-streambase-7-7-8.xml
TIBCO Spotfire® Analyst,11.4.6,11971,9576,,2023-03-13,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-analyst-11-4-6.xml
TIBCO Spotfire® Analyst,11.4.7,11969,9575,,2023-06-06,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-analyst-11-4-7.xml
TIBCO Spotfire® Analyst,12.0.3,12192,9753,,2023-03-13,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-analyst-12-0-3.xml
TIBCO Spotfire® Analyst,12.0.4,12191,9752,,2023-06-06,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-analyst-12-0-4.xml
TIBCO Spotfire® Analyst,12.5.0,17009,13607,,2023-06-30,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-analyst-12-5-0.xml
TIBCO Spotfire® Professional,6.0.0,11173,8938,,2016-09-16,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-professional-6-0-0.xml
TIBCO Spotfire® Professional,6.5.0,11861,9488,,2016-02-17,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-professional-6-5-0.xml
TIBCO Spotfire® Professional,6.5.1,1522,1217,,2016-02-17,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-professional-6-5-1.xml
TIBCO Spotfire® Professional,6.5.2,1521,1216,,2015-10-29,2015,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-professional-6-5-2.xml
TIBCO Spotfire® Professional,6.5.3,1522,1217,,2016-08-17,2016,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-professional-6-5-3.xml
TIBCO Spotfire® Professional,7.0.0,11671,9336,,2017-06-16,2017,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-professional-7-0-0.xml
TIBCO Spotfire® Professional,7.0.1,11671,9336,,2020-03-26,2020,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-spotfire-professional-7-0-1.xml
TIBCO® Data Science - Workbench,13.6.0,1,0,What's new in This Release,2019-11-05,2019,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-science-workbench-13-6-0.xml
